Date,Tweets,Likes
20240715-1635,1,7
20240715-1640,1,1
20240715-1645,4,5
20240715-1650,0,0
20240715-1655,0,0
20240715-1700,1,2
20240715-1705,0,1
20240715-1710,0,1
20240715-1715,1,8
20240715-1720,4,10
20240715-1725,2,3
20240715-1730,1,5
20240715-1735,0,2
20240715-1740,0,0
20240715-1745,0,0
20240715-1750,0,1
20240715-1755,0,0
20240715-1800,0,0
20240715-1805,0,0
20240715-1810,0,0
20240715-1815,0,0
20240715-1820,0,0
20240715-1825,0,0
20240715-1830,0,0
20240715-1835,0,0
20240715-1840,0,0
20240715-1845,0,0
20240715-1850,0,0
20240715-1855,0,0
20240715-1900,0,3
20240715-1905,0,0
20240715-1910,0,0
20240715-1915,0,-1
20240715-1920,0,0
20240715-1925,0,0
20240715-1930,0,0
20240715-1935,0,0
20240715-1940,0,0
20240715-1945,0,0
20240715-1950,0,0
20240715-1955,0,0
20240715-2000,0,0
20240715-2005,0,0
20240715-2010,0,0
20240715-2015,0,0
20240715-2020,0,0
20240715-2025,0,0
20240715-2030,0,0
20240715-2035,0,0
20240715-2040,0,0
20240715-2045,0,0
20240715-2050,0,0
20240715-2055,0,0
20240715-2100,0,0
20240715-2105,0,0
20240715-2110,0,0
20240715-2115,0,-16
20240715-2120,0,0
20240715-2125,0,0
20240715-2130,0,0
20240715-2135,0,0
20240715-2140,0,0
20240715-2145,0,0
20240715-2150,0,0
20240715-2155,0,0
20240715-2200,0,0
20240715-2205,0,0
20240715-2210,0,0
20240715-2215,0,0
20240715-2220,0,0
20240715-2225,0,0
20240715-2230,0,0
20240715-2235,1,0
20240715-2240,0,0
20240715-2245,1,0
20240715-2250,0,0
20240715-2255,0,0
20240715-2300,0,0
20240715-2305,0,0
20240715-2310,0,0
20240715-2315,0,0
20240715-2320,0,1
20240715-2325,1,2
20240715-2330,1,8
20240715-2335,0,0
20240715-2340,0,7
20240715-2345,1,2
20240715-2350,0,1
20240715-2355,0,0
20240716-0000,0,3
20240716-0005,0,3
20240716-0010,0,2
20240716-0015,0,1
20240716-0020,2,3
20240716-0025,1,10
20240716-0030,2,2
20240716-0035,2,4
20240716-0040,0,0
20240716-0045,0,0
20240716-0050,0,0
20240716-0055,0,0
20240716-0100,0,0
20240716-0105,0,0
20240716-0110,0,0
20240716-0115,0,0
20240716-0120,0,0
20240716-0125,0,0
20240716-0130,0,0
20240716-0135,0,0
20240716-0140,0,0
20240716-0145,0,0
20240716-0150,0,0
20240716-0155,0,0
20240716-0200,0,0
20240716-0205,0,0
20240716-0210,0,0
20240716-0215,0,0
20240716-0220,0,0
20240716-0225,0,0
20240716-0230,0,0
20240716-0235,0,0
20240716-0240,0,0
20240716-0245,0,0
20240716-0250,0,0
20240716-0255,0,0
20240716-0300,0,0
20240716-0305,0,0
20240716-0310,0,0
20240716-0315,0,0
20240716-0320,0,0
20240716-0325,0,0
20240716-0330,0,0
20240716-0335,0,0
20240716-0340,0,0
20240716-0345,0,0
20240716-0350,0,0
20240716-0355,0,0
20240716-0400,0,0
20240716-0405,0,0
20240716-0410,0,0
20240716-0415,0,0
20240716-0420,0,0
20240716-0425,0,0
20240716-0430,0,0
20240716-0435,0,0
20240716-0440,0,0
20240716-0445,0,0
20240716-0450,0,0
20240716-0455,0,0
20240716-0500,0,0
20240716-0505,0,0
20240716-0510,0,0
20240716-0515,0,0
20240716-0520,0,0
20240716-0525,0,0
20240716-0530,0,0
20240716-0535,0,0
20240716-0540,0,0
20240716-0545,0,0
20240716-0550,0,0
20240716-0555,0,0
20240716-0600,0,0
20240716-0605,0,0
20240716-0610,0,0
20240716-0615,0,0
20240716-0620,0,0
20240716-0625,0,0
20240716-0630,0,0
20240716-0635,0,0
20240716-0640,0,0
20240716-0645,0,0
20240716-0650,0,0
20240716-0655,0,1
20240716-0700,2,8
20240716-0705,0,1
20240716-0710,0,0
20240716-0715,0,1
20240716-0720,1,2
20240716-0725,0,5
20240716-0730,0,0
20240716-0735,3,4
20240716-0740,1,5
20240716-0745,3,10
20240716-0750,1,3
20240716-0755,3,6
20240716-0800,3,3
20240716-0805,3,7
20240716-0810,3,11
20240716-0815,1,1
20240716-0820,0,1
20240716-0825,1,7
20240716-0830,0,6
20240716-0835,0,1
20240716-0840,0,1
20240716-0845,0,0
20240716-0850,0,0
20240716-0855,0,0
20240716-0900,0,0
20240716-0905,0,0
20240716-0910,0,0
20240716-0915,0,0
20240716-0920,0,0
20240716-0925,0,0
20240716-0930,0,0
20240716-0935,0,0
20240716-0940,0,0
20240716-0945,0,0
20240716-0950,0,0
20240716-0955,0,0
20240716-1000,0,0
20240716-1005,0,0
20240716-1010,0,0
20240716-1015,0,0
20240716-1020,0,0
20240716-1025,0,0
20240716-1030,0,0
20240716-1035,2,3
20240716-1040,2,2
20240716-1045,0,0
20240716-1050,0,0
20240716-1055,0,0
20240716-1100,0,0
20240716-1105,0,0
20240716-1110,0,0
20240716-1115,1,2
20240716-1120,0,0
20240716-1125,0,0
20240716-1130,0,1
20240716-1135,1,0
20240716-1140,0,0
20240716-1145,0,0
20240716-1150,0,0
20240716-1155,0,0
20240716-1200,0,3
20240716-1205,4,3
20240716-1210,3,1
20240716-1215,3,3
20240716-1220,4,4
20240716-1225,2,2
20240716-1230,1,1
20240716-1235,2,0
20240716-1240,1,6
20240716-1245,1,1
20240716-1250,2,6
20240716-1255,3,2
20240716-1300,5,5
20240716-1305,0,9
