ID,Timestamp,Central,UTC,Tweet,Replies,Retweets,Likes,Views,Source,Birdwatch,URL
1860436902219768303,1732397697,2024-11-23T15:34:57-0600,Sat 23 Nov 21:34:57 UTC 2024,@MarioNawfal @jk_rowling 🎯,94,94,"1,370","54,779",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860436902219768303
1860437346216215030,1732397803,2024-11-23T15:36:43-0600,Sat 23 Nov 21:36:43 UTC 2024,RT @joniernst: Met with @realDonaldTrump about his cabinet nominees today! @howardlutnick @elonmusk https://t.co/yR72sRbyyC,0,"2,348",0,16,Twitter for iPhone,,https://twitter.com/elonmusk/status/1860437346216215030
1860437472867414032,1732397833,2024-11-23T15:37:13-0600,Sat 23 Nov 21:37:13 UTC 2024,@superfly_mr @joniernst @realDonaldTrump @howardlutnick True,166,30,986,"25,264",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860437472867414032
1860437902531981551,1732397935,2024-11-23T15:38:55-0600,Sat 23 Nov 21:38:55 UTC 2024,No-brainer,"1,072","1,741","12,555","9,266,646",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860437902531981551
1860442065819074868,1732398928,2024-11-23T15:55:28-0600,Sat 23 Nov 21:55:28 UTC 2024,@SenJoniErnst @VivekGRamaswamy @DOGE 🇺🇸🇺🇸,55,62,670,"36,119",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860442065819074868
1860443735625974188,1732399326,2024-11-23T16:02:06-0600,Sat 23 Nov 22:02:06 UTC 2024,@AdrianDittmann Sigh,131,48,"1,052","23,622",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860443735625974188
1860443920892600504,1732399370,2024-11-23T16:02:50-0600,Sat 23 Nov 22:02:50 UTC 2024,"RT @VivekGRamaswamy: The federal government spent hundreds of millions of our dollars to “fight misinformation,” only to create more misinf…",0,"9,997",0,18,Twitter for iPhone,,https://twitter.com/elonmusk/status/1860443920892600504
1860445032659964356,1732399635,2024-11-23T16:07:15-0600,Sat 23 Nov 22:07:15 UTC 2024,@TheChiefNerd Sunlight is the best disinfectant,179,282,"2,389","73,716",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860445032659964356
1860445358372868509,1732399713,2024-11-23T16:08:33-0600,Sat 23 Nov 22:08:33 UTC 2024,Interesting,"4,686","18,999","133,965","20,346,163",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860445358372868509
1860452719334424596,1732401468,2024-11-23T16:37:48-0600,Sat 23 Nov 22:37:48 UTC 2024,Your tax dollars are paying to air-condition & heat thousands of empty government buildings 🤯 Outrageous!!,"9,594","39,377","188,180","19,897,071",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860452719334424596
1860453130552361331,1732401566,2024-11-23T16:39:26-0600,Sat 23 Nov 22:39:26 UTC 2024,@EvaLovesDesign @SpaceX You don’t need to credit SpaceX or Tesla,65,46,751,"23,051",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860453130552361331
1860453358890254666,1732401620,2024-11-23T16:40:20-0600,Sat 23 Nov 22:40:20 UTC 2024,@Liv_Boeree @isabelleboemeke Cool,23,23,336,"15,581",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860453358890254666
1860454020357193828,1732401778,2024-11-23T16:42:58-0600,Sat 23 Nov 22:42:58 UTC 2024,Federal government overspending is what causes inflation https://t.co/RCpAbnqZqa,"23,155","71,742","499,549","33,679,383",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860454020357193828
1860454050816225740,1732401785,2024-11-23T16:43:05-0600,Sat 23 Nov 22:43:05 UTC 2024,@AntiWokeMemes Yes,79,69,"1,155","42,631",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860454050816225740
1860454223684472908,1732401827,2024-11-23T16:43:47-0600,Sat 23 Nov 22:43:47 UTC 2024,"In retrospect, it was inevitable 😂","2,270","6,826","82,222","24,694,577",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860454223684472908
1860454490479947994,1732401890,2024-11-23T16:44:50-0600,Sat 23 Nov 22:44:50 UTC 2024,@BasedMikeLee 🇺🇸🇺🇸,61,84,"1,399","32,901",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860454490479947994
1860454656796729392,1732401930,2024-11-23T16:45:30-0600,Sat 23 Nov 22:45:30 UTC 2024,It will happen much faster,"1,917","5,838","81,045","15,747,486",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860454656796729392
1860454782705516544,1732401960,2024-11-23T16:46:00-0600,Sat 23 Nov 22:46:00 UTC 2024,Yes,"2,797","3,727","33,054","4,157,915",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860454782705516544
