date,adriantweets,adrianlikes,elontweets,elonlikes
20240729-1435,0,0,4,13
20240729-1440,0,0,2,5
20240729-1445,0,0,1,3
20240729-1450,0,0,0,6
20240729-1455,0,0,0,1
20240729-1500,0,0,1,1
20240729-1505,0,1,1,2
20240729-1510,0,0,1,5
20240729-1515,0,1,1,0
20240729-1520,0,1,1,0
20240729-1525,0,0,0,3
20240729-1530,0,0,1,0
20240729-1535,1,0,1,5
20240729-1540,0,0,1,1
20240729-1545,0,0,0,0
20240729-1550,0,0,0,6
20240729-1555,0,1,0,1
20240729-1600,0,0,0,3
20240729-1605,0,0,2,6
20240729-1610,0,0,0,0
20240729-1615,0,0,0,0
20240729-1620,0,0,0,0
20240729-1625,0,0,0,1
20240729-1630,0,1,5,2
20240729-1635,1,1,1,2
20240729-1640,0,0,2,6
20240729-1645,0,0,0,0
20240729-1650,0,1,0,0
20240729-1655,1,2,1,2
20240729-1700,0,0,1,2
20240729-1705,0,0,1,0
20240729-1710,0,0,1,8
20240729-1715,0,1,2,6
20240729-1720,0,0,0,1
20240729-1725,0,2,1,1
20240729-1730,0,0,0,6
20240729-1735,0,0,0,7
20240729-1740,0,0,2,2
20240729-1745,1,1,1,0
20240729-1750,1,2,0,0
20240729-1755,0,1,1,0
20240729-1800,0,0,0,0
20240729-1805,0,0,0,0
20240729-1810,1,0,1,0
20240729-1815,0,0,0,0
20240729-1820,1,0,0,1
20240729-1825,0,1,0,0
20240729-1830,0,0,3,5
20240729-1835,0,1,2,4
20240729-1840,0,1,0,0
20240729-1845,0,0,0,0
20240729-1850,0,0,4,4
20240729-1855,0,0,1,9
20240729-1900,1,0,0,2
20240729-1905,0,0,1,1
20240729-1910,0,1,0,6
20240729-1915,0,1,0,0
20240729-1920,0,0,0,0
20240729-1925,0,2,0,0
20240729-1930,0,0,0,0
20240729-1935,0,0,0,0
20240729-1940,2,0,0,0
20240729-1945,0,0,0,0
20240729-1950,0,2,1,3
20240729-1955,0,0,0,0
20240729-2000,0,0,0,0
20240729-2005,0,0,0,0
20240729-2010,0,0,0,0
20240729-2015,0,0,0,0
20240729-2020,0,0,0,0
20240729-2025,0,0,0,0
20240729-2030,0,0,0,0
20240729-2035,0,1,0,0
20240729-2040,0,3,0,0
20240729-2045,0,0,0,0
20240729-2050,0,0,0,0
20240729-2055,0,0,0,0
20240729-2100,0,0,0,0
20240729-2105,0,0,0,0
20240729-2110,0,0,0,0
20240729-2115,0,1,0,0
20240729-2120,0,0,0,0
20240729-2125,0,0,0,0
20240729-2130,0,0,0,0
20240729-2135,0,1,2,1
20240729-2140,0,0,1,4
20240729-2145,0,0,1,3
20240729-2150,0,0,3,4
20240729-2155,0,0,0,3
20240729-2200,0,0,1,5
20240729-2205,0,0,0,0
20240729-2210,0,0,1,0
20240729-2215,0,0,0,5
20240729-2220,0,0,1,4
20240729-2225,0,0,0,2
20240729-2230,0,0,1,1
20240729-2235,0,0,1,3
20240729-2240,0,0,0,4
20240729-2245,0,0,0,2
20240729-2250,0,0,0,3
20240729-2255,0,1,0,0
20240729-2300,0,0,2,3
20240729-2305,0,0,0,4
20240729-2310,0,0,0,1
20240729-2315,0,0,0,0
20240729-2320,0,0,0,0
20240729-2325,0,0,0,0
20240729-2330,0,0,0,0
20240729-2335,0,0,0,0
20240729-2340,0,0,0,0
20240729-2345,0,0,0,0
20240729-2350,0,0,0,0
20240729-2355,0,0,0,0
20240730-0000,0,0,0,0
20240730-0005,0,0,0,0
20240730-0010,0,0,0,0
20240730-0015,0,0,0,0
20240730-0020,0,0,0,0
20240730-0025,0,0,0,0
20240730-0030,0,0,0,0
20240730-0035,0,0,0,0
20240730-0040,0,0,0,0
20240730-0045,0,0,0,0
20240730-0050,0,0,0,0
20240730-0055,0,0,0,0
20240730-0100,0,0,0,0
20240730-0105,0,0,0,0
20240730-0110,0,0,0,0
20240730-0115,0,0,0,0
20240730-0120,0,1,0,0
20240730-0125,0,1,0,0
20240730-0130,0,0,0,0
20240730-0135,0,0,0,0
20240730-0140,0,0,0,0
20240730-0145,0,0,0,0
20240730-0150,0,0,0,0
20240730-0155,0,0,0,0
20240730-0200,0,0,0,0
20240730-0205,0,0,0,0
20240730-0210,0,0,0,0
20240730-0215,0,0,0,0
20240730-0220,0,0,0,0
20240730-0225,0,0,0,0
20240730-0230,0,0,0,0
20240730-0235,0,0,0,0
20240730-0240,0,0,0,0
20240730-0245,0,1,0,0
20240730-0250,0,0,0,0
20240730-0255,0,0,0,0
20240730-0300,0,0,0,0
20240730-0305,0,2,0,0
20240730-0310,0,1,0,0
20240730-0315,0,0,0,0
20240730-0320,0,0,0,0
20240730-0325,0,1,0,0
20240730-0330,0,0,0,0
20240730-0335,0,0,0,0
20240730-0340,0,0,0,0
20240730-0345,0,0,0,0
20240730-0350,0,0,0,0
20240730-0355,1,1,0,0
20240730-0400,0,0,0,0
20240730-0405,0,0,0,0
20240730-0410,0,0,0,0
20240730-0415,0,1,0,0
20240730-0420,0,0,0,0
20240730-0425,0,0,0,0
20240730-0430,0,0,0,0
20240730-0435,0,0,0,0
20240730-0440,0,1,0,0
20240730-0445,0,1,0,0
20240730-0450,0,0,0,0
20240730-0455,0,0,0,0
20240730-0500,0,0,0,0
20240730-0505,0,0,0,0
20240730-0510,1,0,0,0
20240730-0515,0,0,0,0
20240730-0520,0,0,0,0
20240730-0525,0,0,0,0
20240730-0530,0,0,0,0
20240730-0535,0,0,0,0
20240730-0540,0,0,0,0
20240730-0545,1,0,0,0
20240730-0550,0,0,0,4
20240730-0555,0,0,1,6
20240730-0600,0,0,1,10
20240730-0605,0,0,1,8
20240730-0610,0,0,0,8
20240730-0615,0,0,2,3
20240730-0620,0,0,1,5
20240730-0625,1,0,0,3
20240730-0630,0,0,0,3
20240730-0635,0,0,0,0
20240730-0640,0,1,1,4
20240730-0645,0,0,1,10
20240730-0650,0,0,3,5
20240730-0655,0,0,0,5
20240730-0700,0,0,0,0
20240730-0705,0,0,0,1
20240730-0710,0,0,2,4
20240730-0715,0,0,1,1
20240730-0720,0,0,0,0
20240730-0725,0,0,0,0
20240730-0730,0,0,0,0
20240730-0735,0,0,0,0
20240730-0740,0,0,0,0
20240730-0745,0,0,0,0
20240730-0750,0,0,1,1
20240730-0755,0,0,0,0
20240730-0800,0,0,0,0
20240730-0805,0,0,0,2
20240730-0810,0,0,1,2
20240730-0815,0,0,0,0
20240730-0820,0,0,0,0
20240730-0825,0,0,0,0
20240730-0830,0,0,0,1
20240730-0835,0,0,0,0
20240730-0840,0,0,0,0
20240730-0845,0,0,0,0
20240730-0850,0,0,0,0
20240730-0855,0,0,0,0
20240730-0900,0,0,0,0
20240730-0905,0,0,0,0
20240730-0910,0,0,0,0
20240730-0915,0,0,0,0
20240730-0920,0,0,0,0
20240730-0925,0,0,0,0
20240730-0930,0,0,0,0
20240730-0935,0,0,0,0
20240730-0940,0,0,0,0
20240730-0945,0,0,0,0
20240730-0950,0,0,0,0
20240730-0955,0,0,0,0
20240730-1000,0,0,0,0
20240730-1005,0,0,0,0
20240730-1010,0,0,0,0
20240730-1015,0,0,0,0
20240730-1020,0,0,0,0
20240730-1025,0,0,0,0
20240730-1030,0,0,0,0
20240730-1035,0,0,1,2
20240730-1040,0,0,1,0
20240730-1045,0,0,3,4
20240730-1050,0,0,3,6
20240730-1055,0,0,0,4
20240730-1100,0,0,3,5
20240730-1105,0,0,2,5
20240730-1110,0,0,1,5
20240730-1115,0,0,1,1
20240730-1120,0,0,3,7
20240730-1125,0,0,2,1
20240730-1130,0,0,1,2
20240730-1135,0,0,4,6
20240730-1140,0,0,2,8
20240730-1145,0,0,2,1
20240730-1150,0,0,5,7
20240730-1155,0,0,5,5
20240730-1200,0,0,0,0
20240730-1205,0,0,2,3
20240730-1210,0,0,2,3
20240730-1215,0,0,1,5
