date,adriantweets,adrianlikes,elontweets,elonlikes
20240908-1625,0,1,0,0
20240908-1630,0,3,0,0
20240908-1635,0,1,0,0
20240908-1640,0,0,0,0
20240908-1645,0,0,0,0
20240908-1650,0,0,0,0
20240908-1655,0,0,0,0
20240908-1700,0,0,0,0
20240908-1705,0,0,0,0
20240908-1710,0,0,0,0
20240908-1715,0,0,0,0
20240908-1720,0,0,0,0
20240908-1725,0,0,0,0
20240908-1730,0,0,0,0
20240908-1735,0,0,0,0
20240908-1740,0,0,0,0
20240908-1745,0,0,0,0
20240908-1750,0,0,0,0
20240908-1755,0,0,0,1
20240908-1800,0,0,0,0
20240908-1805,0,0,0,1
20240908-1810,0,0,0,1
20240908-1815,2,3,0,5
20240908-1820,0,11,4,10
20240908-1825,0,0,3,6
20240908-1830,0,0,4,4
20240908-1835,0,0,0,2
20240908-1840,0,1,3,9
20240908-1845,0,0,0,0
20240908-1850,0,3,0,0
20240908-1855,0,0,5,8
20240908-1900,2,8,2,3
20240908-1905,0,0,3,6
20240908-1910,0,1,0,0
20240908-1915,0,1,3,14
20240908-1920,1,0,4,10
20240908-1925,0,0,1,7
20240908-1930,1,0,1,5
20240908-1935,0,0,0,0
20240908-1940,0,0,0,0
20240908-1945,0,0,3,8
20240908-1950,0,1,1,6
20240908-1955,0,0,0,0
20240908-2000,0,0,0,0
20240908-2005,0,0,0,0
20240908-2010,0,0,0,0
20240908-2015,0,0,0,1
20240908-2020,0,0,0,6
20240908-2025,0,0,0,0
20240908-2030,0,0,0,0
20240908-2035,0,0,0,0
20240908-2040,0,0,1,3
20240908-2045,0,0,2,5
20240908-2050,0,1,0,0
20240908-2055,0,0,0,0
20240908-2100,0,0,0,0
20240908-2105,0,0,0,0
20240908-2110,0,0,0,0
20240908-2115,0,0,0,0
20240908-2120,0,0,0,0
20240908-2125,0,0,0,0
20240908-2130,0,0,0,0
20240908-2135,0,0,0,0
20240908-2140,0,0,0,0
20240908-2145,0,0,0,0
20240908-2150,0,0,0,0
20240908-2155,0,0,0,0
20240908-2200,0,1,0,0
20240908-2205,0,0,0,0
20240908-2210,0,0,0,0
20240908-2215,0,0,0,0
20240908-2220,0,0,0,0
20240908-2225,0,0,0,0
20240908-2230,0,1,0,0
20240908-2235,0,2,0,0
20240908-2240,0,0,0,2
20240908-2245,0,0,0,0
20240908-2250,0,0,0,0
20240908-2255,0,0,0,0
20240908-2300,1,1,0,0
20240908-2305,0,4,0,0
20240908-2310,0,0,0,0
20240908-2315,0,0,0,0
20240908-2320,0,0,0,0
20240908-2325,0,0,0,0
20240908-2330,0,0,0,0
20240908-2335,0,0,1,1
20240908-2340,0,1,1,10
20240908-2345,0,1,0,8
20240908-2350,0,0,0,3
20240908-2355,0,0,0,1
20240909-0000,0,0,0,0
20240909-0005,0,0,0,0
20240909-0010,0,0,0,0
20240909-0015,0,0,0,0
20240909-0020,0,0,0,0
20240909-0025,0,0,0,0
20240909-0030,0,0,0,0
20240909-0035,0,0,0,0
20240909-0040,0,0,0,0
20240909-0045,0,0,0,0
20240909-0050,0,0,0,0
20240909-0055,0,0,0,0
20240909-0100,0,0,0,0
20240909-0105,0,0,0,0
20240909-0110,0,0,0,0
20240909-0115,0,0,0,0
20240909-0120,0,0,0,0
20240909-0125,0,0,0,0
20240909-0130,0,0,0,0
20240909-0135,0,0,0,0
20240909-0140,0,0,0,0
20240909-0145,0,0,0,0
20240909-0150,0,0,0,0
20240909-0155,0,0,0,0
20240909-0200,0,0,0,0
20240909-0205,0,0,0,0
20240909-0210,0,0,0,0
20240909-0215,0,0,0,0
20240909-0220,0,0,0,0
20240909-0225,0,0,0,0
20240909-0230,0,0,0,0
20240909-0235,0,0,0,0
20240909-0240,0,0,0,0
20240909-0245,0,0,0,0
20240909-0250,0,0,0,0
20240909-0255,0,0,0,0
20240909-0300,0,0,0,0
20240909-0305,0,0,0,0
20240909-0310,0,0,0,0
20240909-0315,0,0,0,0
20240909-0320,0,0,0,0
20240909-0325,0,0,0,0
20240909-0330,0,0,0,0
20240909-0335,0,0,0,0
20240909-0340,0,0,0,0
20240909-0345,0,0,0,0
20240909-0350,0,0,0,0
20240909-0355,0,0,0,0
20240909-0400,0,0,0,0
20240909-0405,0,0,0,0
20240909-0410,0,1,0,0
20240909-0415,0,0,0,0
20240909-0420,0,0,0,0
20240909-0425,1,0,0,0
20240909-0430,0,0,0,0
20240909-0435,0,0,0,0
20240909-0440,0,0,0,0
20240909-0445,0,0,0,0
20240909-0450,0,0,0,0
20240909-0455,0,0,0,0
20240909-0500,0,0,0,0
20240909-0505,0,0,0,0
20240909-0510,0,0,0,0
20240909-0515,0,2,0,0
20240909-0520,0,0,0,0
20240909-0525,0,0,0,0
20240909-0530,0,0,0,0
20240909-0535,0,0,0,0
20240909-0540,0,0,0,0
20240909-0545,0,0,0,0
20240909-0550,0,0,0,0
20240909-0555,0,0,0,0
20240909-0600,0,0,0,0
20240909-0605,0,0,0,0
20240909-0610,0,0,0,0
20240909-0615,0,0,0,0
20240909-0620,0,0,0,0
20240909-0625,0,0,0,0
20240909-0630,0,0,0,0
20240909-0635,0,0,0,0
20240909-0640,0,0,0,0
20240909-0645,0,0,0,0
20240909-0650,0,0,0,0
20240909-0655,0,0,0,0
20240909-0700,1,0,0,3
20240909-0705,0,0,1,0
20240909-0710,0,2,0,1
20240909-0715,0,0,0,0
20240909-0720,0,0,0,0
20240909-0725,0,0,0,0
20240909-0730,0,0,0,0
20240909-0735,0,0,1,1
20240909-0740,0,0,1,5
20240909-0745,0,0,2,2
20240909-0750,0,0,3,2
20240909-0755,0,0,0,2
20240909-0800,0,0,0,0
20240909-0805,0,0,0,0
20240909-0810,0,0,0,0
20240909-0815,0,0,0,0
20240909-0820,0,0,0,0
20240909-0825,0,0,0,0
20240909-0830,0,0,0,0
20240909-0835,0,0,0,0
20240909-0840,0,0,0,0
20240909-0845,0,0,0,0
20240909-0850,0,0,0,0
20240909-0855,0,0,0,0
20240909-0900,0,0,0,0
20240909-0905,0,0,0,0
20240909-0910,0,0,0,0
20240909-0915,0,0,0,1
20240909-0920,0,0,1,1
20240909-0925,0,0,0,3
20240909-0930,0,0,2,0
20240909-0935,0,0,0,0
20240909-0940,0,0,0,0
20240909-0945,0,0,0,0
20240909-0950,0,0,0,0
20240909-0955,0,0,0,0
20240909-1000,0,0,0,3
20240909-1005,0,0,5,5
20240909-1010,0,0,0,0
20240909-1015,0,0,0,0
20240909-1020,0,0,0,0
20240909-1025,0,0,0,0
20240909-1030,0,0,0,0
20240909-1035,0,0,0,0
20240909-1040,0,0,0,0
20240909-1045,0,0,0,0
20240909-1050,0,0,0,0
20240909-1055,0,0,0,0
20240909-1100,0,0,1,2
20240909-1105,0,0,0,0
20240909-1110,0,0,0,0
20240909-1115,0,0,1,2
20240909-1120,0,0,1,1
20240909-1125,0,0,1,2
20240909-1130,0,0,2,1
20240909-1135,0,0,1,0
20240909-1140,0,0,3,7
20240909-1145,0,0,3,5
20240909-1150,0,0,2,4
20240909-1155,0,0,3,2
20240909-1200,0,0,2,3
20240909-1205,0,0,0,0
20240909-1210,0,4,2,4
20240909-1215,0,0,1,2
20240909-1220,0,0,0,0
20240909-1225,0,0,0,0
20240909-1230,1,4,0,0
20240909-1235,0,0,0,0
20240909-1240,0,0,0,0
20240909-1245,0,0,0,0
20240909-1250,0,1,0,0
20240909-1255,0,2,0,0
20240909-1300,0,0,0,0
20240909-1305,0,0,0,0
20240909-1310,0,0,0,0
20240909-1315,0,3,0,0
20240909-1320,0,0,0,0
20240909-1325,0,0,0,0
20240909-1330,0,0,0,0
20240909-1335,0,0,0,0
20240909-1340,0,0,0,0
20240909-1345,0,0,0,0
20240909-1350,0,0,0,0
20240909-1355,0,0,0,0
20240909-1400,1,0,0,0
20240909-1405,1,1,0,0
20240909-1410,0,0,0,0
20240909-1415,0,0,0,0
20240909-1420,0,0,0,0
20240909-1425,0,0,0,0
20240909-1430,0,0,0,7
20240909-1435,0,0,4,4
20240909-1440,0,0,0,0
20240909-1445,0,1,0,0
20240909-1450,0,0,0,0
20240909-1455,0,0,0,0
20240909-1500,0,0,0,0
20240909-1505,0,0,0,0
20240909-1510,0,0,0,0
20240909-1515,0,0,0,0
20240909-1520,0,0,0,0
20240909-1525,0,0,0,0
20240909-1530,0,1,0,0
20240909-1535,0,0,0,0
20240909-1540,0,0,0,0
20240909-1545,0,0,0,0
20240909-1550,0,0,0,0
20240909-1555,0,0,0,0
20240909-1600,0,0,0,0
20240909-1605,0,0,0,0
20240909-1610,0,0,0,0
20240909-1615,0,0,0,0
20240909-1620,0,0,0,0
20240909-1625,0,0,0,0
20240909-1630,0,0,0,0
20240909-1635,1,0,1,1
20240909-1640,0,0,0,1
20240909-1645,0,0,0,0
20240909-1650,0,0,0,0
20240909-1655,1,1,0,0
20240909-1700,0,0,0,0
20240909-1705,0,0,0,0
20240909-1710,0,1,0,0
20240909-1715,1,0,0,0
20240909-1720,0,0,0,0
20240909-1725,0,0,0,0
20240909-1730,0,0,0,0
20240909-1735,0,0,0,0
20240909-1740,0,0,0,0
20240909-1745,0,0,0,0
20240909-1750,1,0,0,0
20240909-1755,1,5,0,4
20240909-1800,0,1,0,2
20240909-1805,0,2,0,0
20240909-1810,0,3,0,0
20240909-1815,0,0,1,2
20240909-1820,0,1,2,8
20240909-1825,0,0,2,10
20240909-1830,1,1,0,0
20240909-1835,0,1,0,0
20240909-1840,0,0,3,7
20240909-1845,0,0,2,6
20240909-1850,0,0,2,13
20240909-1855,0,0,0,1
20240909-1900,0,0,3,6
20240909-1905,0,0,4,6
20240909-1910,0,1,1,3
20240909-1915,0,0,1,6
20240909-1920,0,0,2,0
20240909-1925,0,2,4,13
20240909-1930,0,0,2,10
20240909-1935,0,0,2,6
20240909-1940,1,0,1,1
20240909-1945,0,2,0,0
20240909-1950,0,1,1,4
20240909-1955,0,0,4,6
20240909-2000,1,2,3,9
20240909-2005,0,0,0,0
20240909-2010,0,2,3,10
20240909-2015,0,0,1,15
20240909-2020,0,0,3,13
20240909-2025,0,0,3,12
20240909-2030,0,0,3,13
20240909-2035,0,0,3,8
20240909-2040,0,0,2,3
20240909-2045,0,0,1,1
20240909-2050,0,0,1,5
20240909-2055,0,0,0,0
20240909-2100,0,0,4,12
20240909-2105,0,0,0,7
20240909-2110,0,0,0,2
20240909-2115,2,0,0,0
20240909-2120,0,0,0,0
20240909-2125,1,0,0,0
20240909-2130,0,0,0,0
20240909-2135,0,0,0,0
20240909-2140,0,0,0,0
20240909-2145,0,0,0,0
20240909-2150,0,1,0,0
20240909-2155,0,1,0,0
20240909-2200,0,0,0,0
20240909-2205,0,0,0,0
20240909-2210,0,0,0,0
20240909-2215,0,0,0,0
20240909-2220,0,0,0,0
20240909-2225,0,0,0,0
20240909-2230,0,0,0,0
20240909-2235,0,0,0,0
20240909-2240,0,0,0,0
20240909-2245,0,0,0,0
20240909-2250,0,0,0,0
20240909-2255,0,0,1,0
20240909-2300,0,0,2,8
20240909-2305,0,0,0,0
20240909-2310,0,0,0,0
20240909-2315,0,0,0,0
20240909-2320,0,1,0,0
20240909-2325,0,0,0,0
20240909-2330,0,0,0,0
20240909-2335,0,0,0,0
20240909-2340,0,1,0,0
20240909-2345,0,0,0,0
20240909-2350,0,0,0,0
20240909-2355,0,0,0,0
20240910-0000,0,0,0,0
20240910-0005,0,0,0,0
20240910-0010,1,1,0,0
20240910-0015,0,0,0,0
20240910-0020,0,0,0,0
20240910-0025,0,0,0,0
20240910-0030,0,0,0,0
20240910-0035,0,0,0,0
20240910-0040,0,0,0,0
20240910-0045,0,0,0,0
20240910-0050,0,0,0,0
20240910-0055,0,0,0,0
20240910-0100,0,0,0,0
20240910-0105,0,0,0,0
20240910-0110,0,0,0,0
20240910-0115,0,0,3,3
20240910-0120,0,0,0,4
20240910-0125,0,0,0,0
20240910-0130,0,0,0,0
20240910-0135,0,0,0,0
20240910-0140,0,0,0,0
20240910-0145,0,0,1,1
20240910-0150,0,0,0,0
20240910-0155,0,0,1,2
20240910-0200,0,0,0,0
20240910-0205,0,0,0,0
20240910-0210,0,0,0,0
20240910-0215,0,0,0,1
20240910-0220,0,0,2,1
20240910-0225,0,0,0,0
20240910-0230,0,0,0,0
20240910-0235,0,0,0,0
20240910-0240,0,0,0,0
20240910-0245,0,0,0,0
20240910-0250,0,0,1,3
20240910-0255,0,0,1,0
20240910-0300,0,0,0,0
20240910-0305,0,0,1,2
20240910-0310,0,0,0,11
20240910-0315,0,0,1,6
20240910-0320,0,0,0,0
20240910-0325,1,0,1,0
20240910-0330,1,0,0,0
20240910-0335,0,0,0,0
20240910-0340,0,0,0,0
20240910-0345,0,0,0,0
20240910-0350,0,0,0,0
20240910-0355,0,0,0,0
20240910-0400,0,0,0,0
20240910-0405,0,0,0,0
20240910-0410,1,0,2,5
20240910-0415,0,1,3,14
20240910-0420,0,0,1,0
20240910-0425,0,0,1,4
20240910-0430,0,0,0,5
20240910-0435,0,0,2,7
20240910-0440,0,0,0,6
20240910-0445,0,0,0,1
20240910-0450,0,0,0,0
20240910-0455,0,0,1,3
20240910-0500,0,0,0,0
20240910-0505,0,0,0,0
20240910-0510,0,0,0,0
20240910-0515,0,0,0,0
20240910-0520,0,0,0,0
20240910-0525,0,0,0,0
20240910-0530,0,0,0,0
20240910-0535,0,0,0,0
20240910-0540,0,0,2,8
20240910-0545,0,0,0,0
20240910-0550,0,0,1,11
20240910-0555,0,0,2,7
20240910-0600,0,0,0,12
20240910-0605,0,0,0,0
20240910-0610,0,0,0,0
20240910-0615,0,0,0,0
20240910-0620,0,0,0,0
20240910-0625,0,0,0,0
20240910-0630,0,1,0,0
20240910-0635,0,0,0,0
20240910-0640,0,0,0,0
20240910-0645,0,0,0,0
20240910-0650,0,0,0,0
20240910-0655,0,0,0,0
20240910-0700,0,0,0,0
20240910-0705,0,0,0,0
20240910-0710,0,0,0,0
20240910-0715,0,0,0,0
20240910-0720,0,0,0,0
20240910-0725,0,0,0,0
20240910-0730,0,0,0,0
20240910-0735,0,0,0,0
20240910-0740,0,0,0,0
20240910-0745,0,0,0,0
20240910-0750,0,0,0,0
20240910-0755,0,0,0,0
20240910-0800,0,0,0,0
20240910-0805,0,0,0,0
20240910-0810,0,0,0,0
20240910-0815,0,0,0,0
20240910-0820,0,0,3,14
20240910-0825,0,0,2,4
20240910-0830,0,0,1,1
20240910-0835,0,0,1,1
20240910-0840,0,0,0,0
20240910-0845,0,0,4,6
20240910-0850,0,0,5,9
20240910-0855,0,0,2,13
20240910-0900,0,0,1,17
20240910-0905,0,0,1,6
20240910-0910,0,0,5,13
20240910-0915,0,0,6,15
20240910-0920,0,0,1,7
20240910-0925,0,0,1,6
20240910-0930,0,0,3,7
20240910-0935,0,0,0,0
20240910-0940,0,0,0,0
20240910-0945,0,0,0,1
20240910-0950,0,0,0,0
20240910-0955,0,0,1,4
20240910-1000,0,0,0,0
20240910-1005,0,0,0,0
20240910-1010,0,0,0,0
20240910-1015,0,0,0,0
20240910-1020,0,0,1,1
20240910-1025,0,0,0,4
20240910-1030,0,0,3,6
20240910-1035,0,0,2,7
20240910-1040,0,0,2,11
20240910-1045,0,0,1,6
20240910-1050,0,0,0,0
20240910-1055,0,0,0,0
20240910-1100,0,0,0,0
20240910-1105,0,0,0,0
20240910-1110,0,0,0,0
20240910-1115,0,0,0,0
20240910-1120,0,0,0,0
20240910-1125,0,0,0,0
20240910-1130,0,0,0,0
20240910-1135,0,0,0,0
20240910-1140,0,0,0,0
20240910-1145,0,0,0,0
20240910-1150,1,0,0,0
20240910-1155,0,0,0,0
20240910-1200,0,0,0,0
20240910-1205,0,0,0,4
20240910-1210,0,1,2,11
20240910-1215,0,2,2,8
20240910-1220,0,0,1,4
20240910-1225,0,0,1,0
20240910-1230,0,1,1,2
20240910-1235,0,0,1,4
20240910-1240,1,2,0,0
20240910-1245,0,0,0,0
20240910-1250,0,0,0,0
20240910-1255,0,0,0,0
20240910-1300,0,0,0,0
20240910-1305,0,0,0,0
20240910-1310,0,0,0,0
20240910-1315,0,0,0,0
20240910-1320,0,0,0,0
20240910-1325,0,0,0,0
20240910-1330,0,0,0,0
20240910-1335,0,0,1,2
20240910-1340,0,0,1,1
20240910-1345,0,0,1,2
20240910-1350,0,0,0,0
20240910-1355,1,2,0,0
20240910-1400,0,0,0,0
20240910-1405,0,0,0,0
20240910-1410,0,0,0,0
20240910-1415,0,0,0,0
20240910-1420,0,0,0,0
20240910-1425,0,0,0,0
20240910-1430,0,0,0,0
20240910-1435,0,0,0,0
20240910-1440,0,0,0,0
20240910-1445,0,0,0,0
20240910-1450,0,0,0,0
20240910-1455,0,0,0,0
20240910-1500,0,0,0,0
20240910-1505,0,0,0,0
20240910-1510,0,0,0,0
20240910-1515,0,4,0,0
20240910-1520,0,0,0,0
20240910-1525,0,0,0,0
20240910-1530,0,0,0,0
20240910-1535,1,0,0,0
20240910-1540,0,2,0,0
20240910-1545,0,0,0,0
20240910-1550,0,0,0,0
20240910-1555,0,0,0,0
20240910-1600,0,3,0,0
20240910-1605,0,3,0,0
20240910-1610,0,2,0,0
20240910-1615,0,1,0,0
20240910-1620,0,0,0,0
20240910-1625,0,0,0,0
20240910-1630,0,0,0,0
20240910-1635,0,0,0,0
20240910-1640,0,0,0,0
20240910-1645,1,0,0,0
20240910-1650,0,2,1,0
20240910-1655,0,0,0,0
20240910-1700,0,0,0,0
20240910-1705,0,0,0,0
20240910-1710,0,0,0,0
20240910-1715,0,0,0,0
20240910-1720,0,0,0,0
20240910-1725,0,0,0,0
20240910-1730,0,0,0,0
20240910-1735,0,0,0,0
20240910-1740,0,0,0,0
20240910-1745,0,0,0,0
20240910-1750,0,0,0,0
20240910-1755,1,1,0,0
20240910-1800,0,0,0,0
20240910-1805,1,0,0,0
20240910-1810,0,0,0,0
20240910-1815,0,0,0,0
20240910-1820,0,0,0,0
20240910-1825,0,0,0,0
20240910-1830,0,0,0,0
20240910-1835,0,0,0,0
20240910-1840,1,0,0,0
20240910-1845,0,0,0,0
20240910-1850,0,0,0,0
20240910-1855,0,0,0,0
20240910-1900,0,0,0,0
20240910-1905,0,0,1,2
20240910-1910,0,0,0,0
20240910-1915,0,0,3,15
20240910-1920,1,1,0,0
20240910-1925,0,0,0,0
20240910-1930,0,0,0,0
20240910-1935,1,3,2,1
20240910-1940,0,0,0,4
20240910-1945,0,1,0,0
20240910-1950,0,0,0,0
20240910-1955,0,0,0,2
20240910-2000,1,6,0,2
20240910-2005,0,1,0,0
20240910-2010,0,0,0,0
20240910-2015,0,0,0,0
20240910-2020,0,0,0,0
20240910-2025,2,1,1,2
20240910-2030,0,0,0,0
20240910-2035,0,0,0,1
20240910-2040,0,2,3,11
20240910-2045,0,0,3,16
20240910-2050,0,0,3,4
20240910-2055,0,0,0,0
20240910-2100,0,1,0,0
20240910-2105,0,0,0,0
20240910-2110,0,1,0,0
20240910-2115,0,0,0,0
20240910-2120,0,0,0,0
20240910-2125,0,0,0,0
20240910-2130,0,0,0,0
20240910-2135,0,1,0,0
20240910-2140,0,0,0,0
20240910-2145,0,1,0,0
20240910-2150,0,2,1,1
20240910-2155,0,0,0,1
20240910-2200,1,1,4,13
20240910-2205,0,0,1,21
20240910-2210,0,0,2,26
20240910-2215,0,0,2,3
20240910-2220,0,0,0,0
20240910-2225,0,0,0,0
20240910-2230,0,0,0,0
20240910-2235,0,0,0,0
20240910-2240,0,0,0,0
20240910-2245,0,1,0,0
20240910-2250,0,0,1,0
20240910-2255,0,1,1,2
20240910-2300,0,1,2,7
20240910-2305,0,0,1,25
20240910-2310,0,0,2,13
20240910-2315,0,0,2,7
20240910-2320,0,0,0,0
20240910-2325,0,0,1,1
20240910-2330,0,0,0,0
20240910-2335,0,0,1,2
20240910-2340,0,0,0,3
20240910-2345,0,0,0,2
20240910-2350,0,0,0,0
20240910-2355,0,0,0,0
20240911-0000,1,2,0,0
20240911-0005,0,0,0,0
20240911-0010,0,0,0,0
20240911-0015,0,0,0,0
20240911-0020,0,0,0,0
20240911-0025,0,0,0,0
20240911-0030,0,0,0,0
20240911-0035,0,0,0,0
20240911-0040,0,0,0,0
20240911-0045,0,0,0,0
20240911-0050,0,0,0,0
20240911-0055,0,0,0,0
20240911-0100,0,0,0,0
20240911-0105,0,0,0,0
20240911-0110,0,0,0,0
20240911-0115,0,0,0,0
20240911-0120,0,0,0,0
20240911-0125,0,0,0,0
20240911-0130,0,0,0,0
20240911-0135,0,0,0,0
20240911-0140,0,0,0,0
20240911-0145,0,0,0,0
20240911-0150,0,0,0,0
20240911-0155,0,0,0,0
20240911-0200,0,0,0,0
20240911-0205,0,0,0,0
20240911-0210,0,0,0,0
20240911-0215,0,0,0,0
20240911-0220,0,0,0,0
20240911-0225,0,0,0,0
20240911-0230,0,0,0,0
20240911-0235,0,0,0,0
20240911-0240,0,0,0,0
20240911-0245,0,0,0,0
20240911-0250,0,0,0,0
20240911-0255,0,0,0,0
20240911-0300,0,0,0,0
20240911-0305,0,1,0,0
20240911-0310,0,0,0,0
20240911-0315,0,0,0,0
20240911-0320,0,0,0,0
20240911-0325,0,0,0,0
20240911-0330,0,0,0,0
20240911-0335,0,0,0,0
20240911-0340,0,0,0,0
20240911-0345,0,0,0,0
20240911-0350,0,0,0,0
20240911-0355,0,0,0,0
20240911-0400,0,0,0,0
20240911-0405,1,0,0,0
20240911-0410,0,0,0,0
20240911-0415,0,0,0,0
20240911-0420,0,0,0,0
20240911-0425,0,0,0,0
20240911-0430,0,0,0,0
20240911-0435,0,0,0,0
20240911-0440,0,0,0,0
20240911-0445,0,0,0,0
20240911-0450,0,0,0,0
20240911-0455,0,0,0,0
20240911-0500,0,0,0,0
20240911-0505,0,0,0,0
20240911-0510,0,0,0,0
20240911-0515,0,0,0,0
20240911-0520,0,0,0,0
20240911-0525,0,0,0,0
20240911-0530,0,0,0,0
20240911-0535,0,0,0,0
20240911-0540,0,0,0,0
20240911-0545,0,0,3,8
20240911-0550,0,0,1,8
20240911-0555,0,0,0,0
20240911-0600,0,0,0,0
20240911-0605,0,0,0,0
20240911-0610,0,0,0,0
20240911-0615,0,0,0,0
20240911-0620,0,0,0,0
20240911-0625,0,0,0,0
20240911-0630,0,0,0,0
20240911-0635,0,0,0,0
20240911-0640,0,0,0,0
20240911-0645,0,0,0,0
20240911-0650,0,0,0,0
20240911-0655,0,0,0,0
20240911-0700,0,0,0,0
20240911-0705,0,0,0,0
20240911-0710,0,0,0,0
20240911-0715,0,0,0,2
20240911-0720,0,0,3,9
20240911-0725,0,0,3,6
20240911-0730,0,0,2,9
20240911-0735,0,0,1,0
20240911-0740,0,0,5,18
20240911-0745,0,0,2,8
20240911-0750,0,0,4,14
20240911-0755,0,1,2,13
20240911-0800,0,0,0,2
20240911-0805,0,0,0,0
20240911-0810,0,0,0,0
20240911-0815,0,0,0,0
20240911-0820,0,0,0,0
20240911-0825,0,0,0,0
20240911-0830,0,0,0,0
20240911-0835,0,0,0,0
20240911-0840,0,0,0,0
20240911-0845,0,0,0,0
20240911-0850,0,0,0,0
20240911-0855,0,0,0,0
20240911-0900,0,0,1,1
20240911-0905,0,0,1,1
20240911-0910,0,0,0,0
20240911-0915,0,0,0,0
20240911-0920,0,0,0,0
20240911-0925,0,0,0,0
20240911-0930,0,0,0,0
20240911-0935,0,0,0,0
20240911-0940,0,0,0,0
20240911-0945,0,0,0,0
20240911-0950,0,0,0,0
20240911-0955,0,0,0,0
20240911-1000,0,0,0,0
20240911-1005,0,0,0,0
20240911-1010,0,0,0,0
20240911-1015,0,0,0,0
20240911-1020,0,0,0,0
20240911-1025,0,0,0,0
20240911-1030,0,0,0,0
20240911-1035,0,0,0,0
20240911-1040,0,0,0,0
20240911-1045,0,0,2,4
20240911-1050,0,0,0,1
20240911-1055,0,0,0,0
20240911-1100,0,0,0,0
20240911-1105,0,0,0,0
20240911-1110,0,0,0,0
20240911-1115,0,0,0,0
20240911-1120,0,0,0,0
20240911-1125,0,0,0,0
20240911-1130,0,0,0,0
20240911-1135,0,0,0,0
20240911-1140,0,0,0,0
20240911-1145,0,0,0,0
20240911-1150,0,0,0,0
20240911-1155,0,0,0,0
20240911-1200,1,0,0,0
20240911-1205,0,0,0,0
20240911-1210,0,0,0,0
20240911-1215,0,0,0,0
20240911-1220,0,0,0,5
20240911-1225,0,0,0,4
20240911-1230,0,0,1,3
20240911-1235,0,0,1,4
20240911-1240,0,0,1,8
20240911-1245,0,0,0,9
20240911-1250,0,0,0,0
20240911-1255,0,0,2,4
20240911-1300,0,1,0,1
20240911-1305,0,1,0,0
20240911-1310,1,0,0,0
20240911-1315,0,1,0,0
20240911-1320,0,0,0,0
20240911-1325,0,1,0,0
20240911-1330,0,2,0,0
20240911-1335,0,0,0,0
20240911-1340,0,0,0,0
20240911-1345,0,0,0,0
20240911-1350,0,0,0,1
20240911-1355,0,0,0,0
20240911-1400,0,0,0,0
20240911-1405,0,6,0,0
20240911-1410,0,0,0,0
20240911-1415,0,0,0,0
20240911-1420,0,1,0,0
20240911-1425,0,0,0,0
20240911-1430,0,0,0,0
20240911-1435,0,1,0,0
20240911-1440,0,0,0,0
20240911-1445,0,0,0,0
20240911-1450,0,0,0,0
20240911-1455,0,0,0,0
20240911-1500,0,0,0,0
20240911-1505,0,0,0,0
20240911-1510,0,0,0,0
20240911-1515,0,0,0,0
20240911-1520,0,0,0,2
20240911-1525,0,0,0,0
20240911-1530,0,1,0,0
20240911-1535,0,0,0,0
20240911-1540,0,0,0,0
20240911-1545,0,0,0,0
20240911-1550,1,0,0,0
20240911-1555,0,0,0,0
20240911-1600,0,0,0,0
20240911-1605,1,0,0,0
20240911-1610,0,0,0,0
20240911-1615,0,0,0,0
20240911-1620,0,0,0,3
20240911-1625,0,0,0,0
20240911-1630,1,1,0,0
20240911-1635,0,1,0,0
20240911-1640,0,0,0,0
20240911-1645,0,3,0,0
20240911-1650,0,0,0,0
20240911-1655,0,0,1,5
20240911-1700,0,0,1,3
20240911-1705,0,0,0,0
20240911-1710,0,0,0,0
20240911-1715,0,0,0,0
20240911-1720,0,0,0,0
20240911-1725,0,0,0,0
20240911-1730,0,0,0,0
20240911-1735,0,0,0,0
20240911-1740,0,1,0,0
20240911-1745,0,1,0,0
20240911-1750,0,0,0,0
20240911-1755,0,0,0,0
20240911-1800,0,0,0,0
20240911-1805,0,0,0,0
20240911-1810,0,0,0,0
20240911-1815,0,0,0,0
20240911-1820,1,0,0,0
20240911-1825,0,0,0,0
20240911-1830,4,2,0,0
20240911-1835,1,1,0,0
20240911-1840,0,1,0,0
20240911-1845,0,2,0,0
20240911-1850,0,0,0,0
20240911-1855,0,3,0,0
20240911-1900,0,1,0,0
20240911-1905,0,0,0,0
20240911-1910,0,0,0,0
20240911-1915,0,0,0,0
20240911-1920,0,0,0,0
20240911-1925,0,0,0,0
20240911-1930,0,2,0,0
20240911-1935,0,0,0,0
20240911-1940,0,0,0,0
20240911-1945,0,0,0,0
20240911-1950,0,0,0,0
20240911-1955,0,0,0,0
20240911-2000,0,1,0,0
20240911-2005,0,0,0,0
20240911-2010,0,1,0,0
20240911-2015,0,0,0,0
20240911-2020,0,0,0,1
20240911-2025,0,0,0,0
20240911-2030,0,0,2,6
20240911-2035,0,0,1,2
20240911-2040,0,0,1,1
20240911-2045,0,0,0,0
20240911-2050,0,0,0,0
20240911-2055,0,0,0,0
20240911-2100,0,0,3,3
20240911-2105,0,0,2,13
20240911-2110,0,0,0,4
20240911-2115,0,0,0,0
20240911-2120,0,0,0,0
20240911-2125,0,0,0,0
20240911-2130,0,0,0,0
20240911-2135,0,0,0,0
20240911-2140,0,1,0,0
20240911-2145,0,1,0,0
20240911-2150,0,0,0,0
20240911-2155,0,0,0,0
